Word                     Count
herself                  40 
hid                      1  
hide                     1  
high                     4  
highest                  1  
him                      26 
himself                  4  
hint                     1  
his                      96 
hiss                     1  
history                  1  
hit                      2  
hoarse                   2  
hoarsely                 1  
hold                     7  
holder                   1  
holding                  2  
hollow                   1  
home                     2  
honest                   1  
hookah                   4  
hope                     4  
hopeful                  1  
hopeless                 1  
hopes                    1  
hoping                   3  
hot                      4  
hour                     2  
hours                    3  
house                    8  
how                      50 
howled                   1  
howling                  3  
humble                   1  
hundred                  1  
hundreds                 1  
hung                     1  
hungry                   2  
hunting                  3  
hurried                  10 
hurriedly                2  
hurry                    4  
hurrying                 1  
hurt                     2  
hypertext                1  
i                        248
idea                     15 
identification           1  
if                       90 
ignorant                 1  
ii                       1  
iii                      1  
illustrated              1  
illustrations            1  
images                   1  
imagine                  2  
imitated                 1  
immediate                3  
immediately              3  
immense                  1  
impatient                1  
impatiently              1  
imperious                1  
implied                  1  
important                4  
imposed                  1  
impossible               2  
improve                  1  
in                       423
inaccurate               1  
incessantly              1  
inches                   6  
incidental               1  
inclined                 1  
include                  1  
included                 2  
includes                 1  
including                9  
increasing               1  
indeed                   3  
indemnify                1  
indemnity                1  
indicate                 1  
indicating               1  
indignant                1  
indirectly               1  
individual               4  
information              6  
ing                      2  
injure                   1  
inkstand                 1  
inquired                 1  
insolence                1  
instantly                3  
instead                  2  
insult                   1  
intellectual             2  
interest                 1  
interesting              3  
internal                 1  
international            1  
interpreted              1  
interrupt                1  
interrupted              5  
interrupting             2  
interrupts               1  
into                     72 
introduce                2  
introduced               1  
invalidity               1  
invent                   1  
invented                 1  
invitation               2  
invited                  1  
involved                 1  
irritated                1  
is                       90 
it                       383
its                      66 
itself                   8  
iv                       1  
ix                       1  
jana                     1  
jar                      2  
jaws                     1  
jogged                   1  
join                     9  
joined                   2  
judging                  1  
jumped                   5  
jumping                  4  
juror                    1  
jurors                   3  
jury                     9  
jurymen                  2  
just                     48 
justice                  1  
keep                     10 
keeping                  4  
kept                     13 
kettle                   1  
key                      5  
kick                     2  
kid                      5  
kill                     1  
killing                  1  
kills                    1  
kind                     6  
kindly                   1  
king                     28 
kings                    1  
kiss                     1  
kissed                   1  
kitchen                  2  
knave                    7  
knee                     1  
kneel                    1  
knelt                    1  
knew                     13 
knife                    1  
know                     46 
knowing                  2  
knowledge                1  
known                    1  
knows                    2  
label                    1  
labelled                 1  
lady                     2  
laid                     2  
lake                     1  
lamps                    1  
land                     2  
lap                      2  
large                    34 
larger                   3  
largest                  1  
last                     26 
lasted                   1  
late                     3  
latin                    1  
latitude                 2  
laughed                  1  
laughing                 1  
law                      2  
laws                     7  
lay                      5  
lazily                   1  
lazy                     1  
leading                  1  
leaning                  2  
leant                    1  
leap                     1  
lear                     1  
learn                    5  
learned                  1  
learning                 2  
learnt                   2  
least                    7  
leave                    7  
leaves                   2  
leaving                  1  
led                      4  
ledge                    1  
left                     15 
legal                    2  
legally                  1  
legs                     3  
leisurely                1  
length                   1  
less                     3  
lessen                   1  
lesson                   1  
lessons                  4  
lest                     1  
let                      13 
letter                   2  
lewis                    2  
liability                1  
liable                   1  
library                  1  
license                  11 
licensed                 1  
licking                  1  
lie                      2  
lieu                     2  
life                     2  
lifted                   1  
like                     77 
liked                    3  
likely                   4  
limbs                    1  
limitation               3  
limited                  5  
line                     1  
linked                   2  
links                    3  
list                     3  
listen                   4  
listeners                1  
lit                      1  
literary                 13 
little                   124
live                     7  
lived                    3  
livery                   1  
lives                    1  
living                   1  
lizard                   2  
lobster                  6  
lobsters                 3  
located                  4  
locations                1  
locks                    1  
lodging                  1  
london                   2  
lonely                   2  
long                     34 
longed                   2  
longer                   2  
longitude                2  
look                     25 
looked                   47 
looking                  30 
looks                    1  
loose                    2  
lory                     3  
lose                     1  
losing                   1  
lost                     1  
lot                      1  
loud                     3  
louder                   1  
loudly                   2  
loveliest                1  
lovely                   2  
loving                   1  
low                      9  
lowing                   1  
ltd                      1  
luckily                  1  
lullaby                  1  
lying                    8  
ma                       1  
machine                  1  
machines                 1  
mad                      9  
made                     31 
magic                    1  
magpie                   1  
main                     1  
maintaining              1  
majesty                  2  
make                     29 
makes                    12 
making                   8  
mallets                  1  
man                      1  
manage                   6  
managed                  3  
managing                 1  
manner                   1  
manners                  1  
many                     14 
maps                     1  
march                    31 
marched                  1  
mark                     4  
marked                   7  
mary                     5  
master                   2  
matter                   9  
matters                  2  
maximum                  1  
may                      28 
me                       45 
mean                     7  
meaning                  7  
means                    5  
meant                    4  
meanwhile                1  
measure                  1  
medium                   3  
meekly                   1  
meet                     3  
meeting                  1  
melan                    1  
melancholy               6  
memorandum               1  
mentioned                3  
merchantibility          1  
mercia                   2  
merely                   2  
merrily                  1  
merry                    1  
messages                 2  
met                      4  
method                   1  
methods                  1  
mice                     2  
michael                  2  
middle                   3  
might                    27 
mile                     2  
miles                    3  
milk                     1  
mind                     5  
minded                   1  
minding                  1  
mine                     3  
minute                   15 
minutes                  7  
miserable                2  
miss                     1  
missed                   2  
mission                  4  
mississippi              1  
mistake                  2  
mixed                    2  
mock                     59 
modified                 1  
moment                   20 
money                    3  
month                    1  
moral                    6  
morals                   1  
more                     39 
morsel                   1  
most                     11 
mostly                   1  
mournful                 1  
mouse                    20 
mouth                    7  
mouths                   1  
move                     2  
moved                    4  
moving                   4  
much                     41 
muddle                   1  
multiplication           1  
murder                   1  
murdering                1  
muscular                 1  
mushroom                 4  
must                     49 
mustard                  2  
muttered                 2  
muttering                3  
my                       56 
myself                   2  
mystic                   1  
name                     9  
named                    1  
names                    1  
narrow                   1  
natural                  3  
naught                   1  
near                     14 
nearer                   4  
nearly                   14 
neat                     1  
neatly                   2  
necessarily              1  
neck                     6  
need                     1  
needs                    1  
neighbour                1  
neighbouring             1  
neither                  2  
nervous                  4  
network                  1  
never                    39 
nevertheless             1  
new                      8  
newby                    1  
newsletter               1  
next                     24 
nibbled                  2  
nibbling                 3  
nice                     6  
nicely                   2  
night                    1  
nile                     1  
nine                     4  
ning                     1  
no                       76 
nobody                   4  
noise                    3  
non                      1  
none                     3  
nonproprietary           1  
nonsense                 2  
nor                      2  
north                    1  
nose                     1  
not                      126
nothing                  21 
notice                   8  
noticed                  7  
noticing                 1  
notifies                 1  
notion                   3  
now                      27 
nowhere                  2  
number                   8  
numerous                 1  
nurse                    1  
nursing                  3  
o                        1  
obliged                  3  
oblong                   1  
obstacle                 1  
obtain                   3  
obtaining                2  
occasional               1  
occurred                 2  
odd                      1  
of                       617
off                      45 
offend                   1  
offended                 6  
offer                    2  
offers                   1  
office                   2  
officer                  1  
officers                 3  
official                 3  
often                    4  
oh                       5  
old                      15 
older                    2  
oldest                   1  
on                       151
once                     20 
one                      83 
ones                     1  
oneself                  1  
online                   5  
only                     46 
open                     6  
opened                   9  
opening                  4  
opportunities            1  
opportunity              9  
opposite                 1  
or                       146
order                    2  
ordered                  2  
ordering                 2  
organized                1  
original                 1  
originator               1  
ornamented               2  
other                    42 
others                   4  
otherwise                2  
ought                    13 
our                      14 
out                      103
outdated                 1  
outside                  3  
over                     31 
overcome                 1  
owed                     1  
owl                      2  
own                      9  
owner                    3  
owns                     2  
pack                     6  
page                     15 
pages                    1  
paid                     6  
paint                    1  
painting                 2  
pair                     5  
pairs                    1  
pale                     2  
panted                   1  
panther                  3  
panting                  2  
paper                    4  
paperwork                1  
paragraph                11 
paragraphs               3  
parchment                2  
parenthesis              1  
paris                    1  
part                     7  
particular               3  
particularly             1  
parts                    1  
party                    8  
pass                     1  
passage                  1  
passed                   4  
passing                  1  
passionate               1  
past                     1  
patience                 1  
patiently                1  
patriotic                1  
patted                   1  
pattering                3  
pattern                  1  
paused                   1  
paw                      1  
paws                     2  
pay                      1  
paying                   2  
payments                 3  
pebbles                  2  
peeped                   3  
peeping                  1  
peering                  1  
pen                      1  
pencil                   1  
pencils                  1  
pennyworth               2  
people                   13 
pepper                   6  
perfectly                4  
performances             1  
perhaps                  12 
period                   1  
periodic                 1  
permanent                1  
permission               6  
permitted                3  
persisted                1  
person                   6  
personal                 2  
persons                  1  
pg                       1  
phrase                   4  
physical                 2  
picked                   3  
picking                  2  
pictured                 1  
pictures                 4  
pie                      1  
piece                    5  
pieces                   2  
pig                      1  
pigeon                   6  
pigs                     1  
pinch                    2  
pinched                  2  
pink                     1  
piteous                  1  
pitied                   1  
pity                     1  
place                    7  
placed                   1  
plainly                  1  
plan                     1  
planning                 1  
plate                    2  
plates                   2  
play                     8  
played                   1  
players                  2  
playing                  2  
pleaded                  3  
pleasant                 1  
pleasanter               1  
please                   11 
pleased                  5  
pleasing                 1  
pleasure                 2  
plenty                   1  
pocket                   1  
pointed                  1  
pointing                 3  
poker                    1  
poky                     1  
politely                 1  
pool                     9  
poor                     27 
pop                      1  
porpoise                 1  
position                 2  
positively               1  
possessed                1  
possibility              1  
possible                 1  
possibly                 3  
posted                   5  
pour                     1  
poured                   1  
powdered                 1  
practically              1  
practice                 1  
prepare                  1  
present                  1  
presented                1  
presently                2  
presents                 2  
preserve                 1  
press                    1  
pressed                  3  
pressing                 1  
pretence                 1  
pretend                  1  
pretending               1  
pretexts                 1  
pretty                   1  
prevent                  2  
previous                 1  
prima                    1  
principal                1  
print                    1  
printed                  5  
prisoner                 1  
prize                    1  
processing               1  
procession               2  
produce                  1  
produced                 4  
producing                1  
proem                    2  
professor                1  
profit                   1  
profits                  1  
prohibition              1  
project                  80 
prominently              2  
promised                 1  
promoting                2  
promotion                1  
pronounced               1  
proofread                1  
proofreading             1  
proper                   3  
property                 2  
proprietary              1  
protect                  2  
proud                    2  
prove                    2  
proved                   2  
provide                  6  
provided                 4  
providing                4  
provision                1  
provoking                1  
public                   9  
puffed                   1  
pulled                   1  
pulling                  1  
punching                 1  
punished                 1  
punitive                 1  
puppy                    5  
purpose                  1  
purring                  1  
pursue                   1  
push                     2  
put                      32 
putting                  3  
puzzled                  5  
puzzling                 4  
quadrille                2  
quaint                   1  
quarrel                  1  
quarrelled               1  
quarrelling              4  
queen                    39 
queer                    9  
queerest                 1  
question                 7  
questions                2  
quick                    1  
quickly                  2  
quiet                    2  
quietly                  4  
quite                    54 
quiver                   1  
quotation                2  
quote                    1  
rabbit                   31 
race                     2  
rags                     1  
railway                  1  
raised                   2  
raising                  1  
ran                      13 
rapped                   1  
rate                     4  
rather                   26 
rats                     1  
rattle                   1  
rattling                 2  
raven                    1  
ravens                   1  
raving                   2  
reach                    4  
reaching                 2  
read                     12 
readable                 2  
reading                  3  
ready                    7  
real                     3  
really                   9  
rearing                  1  
reason                   8  
reasonable               2  
receipt                  2  
receive                  3  
received                 6  
receiving                1  
recognised               1  
recovered                2  
redistribute             1  
redistributing           2  
redistribution           1  
reduced                  1  
references               2  
refund                   7  
refused                  1  
registered               2  
regular                  2  
regulating               1  
relieved                 1  
remain                   2  
remained                 3  
remaining                2  
remark                   3  
remarkable               2  
remarked                 1  
remarking                3  
remarks                  1  
remedies                 1  
remember                 12 
remembered               5  
remembering              1  
reminding                1  
remove                   1  
removed                  1  
repeat                   6  
repeated                 8  
repeating                3  
replace                  1  
replacement              5  
replied                  13 
reply                    1  
reported                 1  
representations          1  
reproduced               1  
require                  1  
required                 1  
requirements             2  
research                 1  
respectable              1  
respectful               1  
rest                     10 
resting                  2  
restrictions             2  
result                   1  
retire                   1  
return                   3  
returned                 2  
revenue                  1  
rich                     1  
riddle                   1  
riddles                  1  
ridge                    1  
ridges                   1  
ridiculous               1  
right                    24 
rightly                  1  
ringlets                 1  
rip                      1  
riper                    1  
rippling                 1  
rise                     1  
rises                    1  
rising                   1  
roared                   1  
roast                    1  
roof                     5  
room                     8  
roots                    1  
rose                     3  
roses                    1  
roughly                  1  
round                    32 
row                      2  
royal                    2  
royalties                1  
royalty                  3  
rubbed                   1  
rubbing                  2  
rudeness                 1  
rule                     2  
rules                    4  
rumbling                 1  
run                      4  
running                  8  
rush                     2  
rushed                   1  
rustled                  1  
rustling                 1  
sad                      2  
sadly                    2  
safe                     2  
said                     425
salt                     3  
same                     22 
sand                     1  
sands                    1  
sang                     2  
sat                      16 
saucepan                 3  
saucer                   1  
savage                   3  
save                     2  
saves                    1  
saw                      13 
say                      34 
saying                   11 
says                     4  
scaly                    1  
scattered                1  
school                   4  
scolded                  1  
score                    1  
scrambling               1  
scratching               1  
scream                   1  
screamed                 4  
screaming                1  
scroll                   1  
scurried                 1  
sea                      2  
search                   2  
seaside                  1  
seated                   1  
second                   6  
section                  7  
sections                 1  
secunda                  1  
secure                   1  
see                      53 
seeing                   1  
seem                     8  
seemed                   27 
seems                    4  
seen                     12 
seldom                   1  
sell                     1  
send                     2  
sending                  3  
sends                    2  
sensation                1  
sense                    1  
sent                     4  
sentence                 6  
sentenced                1  
series                   1  
serpents                 2  
set                      23 
setting                  2  
settle                   1  
settled                  3  
settling                 1  
seven                    4  
several                  5  
severely                 2  
shake                    1  
shaking                  3  
shall                    24 
shape                    1  
shaped                   2  
share                    2  
shared                   2  
sharing                  2  
sharks                   1  
sharp                    6  
she                      522
shedding                 1  
shelves                  1  
shepherd                 1  
shifting                 1  
shilling                 1  
shillings                1  
shining                  1  
shock                    1  
shoes                    4  
shook                    9  
short                    4  
should                   30 
shoulder                 3  
shoulders                2  
shouted                  9  
shouting                 4  
show                     3  
shower                   2  
showing                  2  
shriek                   3  
shrieked                 1  
shrill                   3  
shrimp                   1  
shrink                   1  
shrinking                4  
shut                     4  
shutting                 2  
side                     12 
sides                    4  
sighed                   5  
sighing                  2  
sight                    2  
sign                     1  
signed                   2  
signifies                1  
silence                  6  
silent                   3  
simple                   5  
simply                   2  
since                    5  
sing                     4  
singers                  1  
singing                  2  
single                   1  
sink                     1  
sister                   5  
sit                      5  
site                     4  
sits                     1  
sitting                  10 
six                      2  
size                     6  
sizes                    1  
skimming                 1  
sky                      1  
slate                    1  
slates                   2  
sleep                    4  
sleepy                   3  
slightest                1  
slipped                  2  
slowly                   6  
small                    10 
smallest                 2  
smiled                   2  
smiling                  2  
smoke                    1  
smoking                  2  
snail                    1  
